timestamp,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_10__output_voltage,talonfx_10__selected_sensor_velocity,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_11__output_voltage,talonfx_11__selected_sensor_velocity,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_12__output_voltage,talonfx_12__selected_sensor_velocity,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_13__output_voltage,talonfx_13__selected_sensor_velocity
36,-3337.0,-2.572043010752688,-1206.0,-3330.0,-2.5596774193548386,-1622.0,3337.0,2.485483870967742,1593.0,-3330.0,-2.3989247311827957,-1412.0
41,-3337.0,-2.572043010752688,-1206.0,-3330.0,-2.5596774193548386,-1622.0,3337.0,2.485483870967742,1593.0,-3330.0,-2.3989247311827957,-1412.0
46,-3337.0,-2.3989247311827957,-1206.0,-3330.0,-2.856451612903226,-1622.0,3337.0,2.7946236559139788,1593.0,-3330.0,-2.806989247311828,-1412.0
51,-3337.0,-2.3989247311827957,-1736.0,-3781.0,-2.856451612903226,-2169.0,3790.0,2.7946236559139788,2148.0,-3781.0,-2.806989247311828,-1893.0
56,-3790.0,-2.708064516129032,-1736.0,-3781.0,-2.708064516129032,-2169.0,3790.0,2.621505376344086,2148.0,-3781.0,-2.633870967741936,-1893.0
61,-3790.0,-2.708064516129032,-1736.0,-3781.0,-2.708064516129032,-2169.0,3790.0,2.621505376344086,2148.0,-3781.0,-2.633870967741936,-1893.0
66,-3790.0,-2.5349462365591395,-1736.0,-3781.0,-3.041935483870968,-2169.0,3790.0,2.9553763440860212,2148.0,-3781.0,-2.8440860215053765,-2469.0
72,-3790.0,-2.5349462365591395,-2288.0,-3781.0,-3.041935483870968,-2729.0,3790.0,2.9553763440860212,2706.0,-3781.0,-2.8440860215053765,-2469.0
76,-4249.0,-2.9059139784946235,-2288.0,-4243.0,-2.881182795698925,-2729.0,4249.0,2.8193548387096774,2706.0,-4243.0,-2.8440860215053765,-2469.0
81,-4249.0,-2.9059139784946235,-2288.0,-4243.0,-2.881182795698925,-2729.0,4249.0,2.8193548387096774,2706.0,-4243.0,-3.177956989247312,-2469.0
86,-4249.0,-2.7575268817204304,-2288.0,-4243.0,-3.239784946236559,-2729.0,4249.0,3.177956989247312,2706.0,-4243.0,-3.177956989247312,-2469.0
91,-4679.0,-2.7575268817204304,-2824.0,-4673.0,-3.239784946236559,-3251.0,4679.0,3.177956989247312,3222.0,-4673.0,-3.066666666666667,-3019.0
96,-4679.0,-3.153225806451613,-2824.0,-4673.0,-3.091397849462366,-3251.0,4679.0,3.041935483870968,3222.0,-4673.0,-3.066666666666667,-3019.0
101,-4679.0,-3.153225806451613,-2824.0,-4673.0,-3.091397849462366,-3251.0,4679.0,3.041935483870968,3222.0,-4673.0,-3.066666666666667,-3019.0
106,-4679.0,-2.99247311827957,-2824.0,-4673.0,-3.4376344086021504,-3251.0,4679.0,3.375806451612903,3222.0,-4673.0,-3.4129032258064513,-3019.0
113,-5128.0,-2.99247311827957,-3323.0,-5121.0,-3.165884652981427,-3723.0,5128.0,3.375806451612903,3689.0,-5121.0,-3.4129032258064513,-3495.0
116,-5128.0,-3.3634408602150536,-3323.0,-5121.0,-3.0633919843597264,-3723.0,5128.0,3.2521505376344084,3689.0,-5121.0,-3.326344086021505,-3495.0
121,-5128.0,-3.3634408602150536,-3323.0,-5121.0,-3.0633919843597264,-3723.0,5128.0,3.2521505376344084,3689.0,-5121.0,-3.326344086021505,-3495.0
126,-5128.0,-3.22741935483871,-3323.0,-5121.0,-3.4050342130987294,-3723.0,5128.0,3.623118279569893,3689.0,-5121.0,-3.709677419354839,-3495.0
133,-5564.0,-3.22741935483871,-3786.0,-5553.0,-3.4050342130987294,-4181.0,5564.0,3.623118279569893,4184.0,-5553.0,-3.709677419354839,-3495.0
136,-5564.0,-3.623118279569893,-3786.0,-5553.0,-3.2911534701857286,-4181.0,5564.0,3.511827956989247,4184.0,-5553.0,-3.3052785923753665,-3914.0
141,-5564.0,-3.623118279569893,-3786.0,-5553.0,-3.2911534701857286,-4181.0,5564.0,3.511827956989247,4184.0,-5553.0,-3.3052785923753665,-3914.0
146,-5564.0,-3.4994623655913975,-3786.0,-5553.0,-3.6441837732160316,-4181.0,5564.0,3.845698924731183,4184.0,-5553.0,-3.648387096774193,-3914.0
153,-5992.0,-3.4994623655913975,-4192.0,-5983.0,-3.6441837732160316,-4584.0,5992.0,3.845698924731183,4599.0,-5983.0,-3.648387096774193,-3914.0
156,-5992.0,-3.9075268817204303,-4192.0,-5983.0,-3.5530791788856306,-4584.0,5992.0,3.7591397849462367,4599.0,-5983.0,-3.579765395894428,-4372.0
161,-5992.0,-3.9075268817204303,-4192.0,-5983.0,-3.5530791788856306,-4584.0,5992.0,3.7591397849462367,4599.0,-5983.0,-3.579765395894428,-4372.0
166,-5992.0,-3.820967741935484,-4192.0,-5983.0,-3.906109481915933,-4584.0,5992.0,4.14247311827957,4599.0,-5983.0,-3.94574780058651,-4372.0
171,-6411.0,-3.820967741935484,-4192.0,-6402.0,-3.906109481915933,-4584.0,6411.0,4.14247311827957,4599.0,-6402.0,-3.94574780058651,-4372.0
176,-6411.0,-4.191935483870967,-4585.0,-6402.0,-3.8263929618768326,-5007.0,6411.0,4.080645161290323,4988.0,-6402.0,-3.8771260997067443,-4735.0
181,-6411.0,-4.191935483870967,-4585.0,-6402.0,-3.8263929618768326,-5007.0,6411.0,4.080645161290323,4988.0,-6402.0,-3.8771260997067443,-4735.0
187,-6411.0,-4.463978494623657,-4585.0,-6402.0,-4.156647116324536,-5007.0,6411.0,4.426881720430108,4988.0,-6402.0,-4.231671554252199,-4735.0
192,-6828.0,-4.463978494623657,-4585.0,-6819.0,-4.156647116324536,-5007.0,6828.0,4.426881720430108,4988.0,-6819.0,-4.231671554252199,-4735.0
196,-6828.0,-4.463978494623657,-4995.0,-6819.0,-4.156647116324536,-5414.0,6828.0,4.129423264907136,5414.0,-6819.0,-4.231671554252199,-5139.0
201,-6828.0,-4.3526881720430115,-4995.0,-6819.0,-4.418572825024438,-5414.0,6828.0,4.371652003910069,5414.0,-6819.0,-4.483284457478005,-5139.0
206,-6828.0,-4.3526881720430115,-4995.0,-6819.0,-4.418572825024438,-5414.0,6828.0,4.371652003910069,5414.0,-6819.0,-4.483284457478005,-5139.0
211,-7241.0,-4.748387096774193,-4995.0,-7232.0,-4.316080156402737,-5414.0,7241.0,4.302443792766374,5414.0,-7232.0,-4.391788856304985,-5139.0
216,-7241.0,-4.391788856304985,-5407.0,-7232.0,-4.316080156402737,-5835.0,7241.0,4.302443792766374,5814.0,-7232.0,-4.391788856304985,-5549.0
221,-7241.0,-4.265982404692082,-5407.0,-7232.0,-4.6577223851417395,-5835.0,7241.0,4.613880742913001,5814.0,-7232.0,-4.391788856304985,-5549.0
226,-7241.0,-4.265982404692082,-5407.0,-7232.0,-4.6577223851417395,-5835.0,7241.0,4.613880742913001,5814.0,-7232.0,-4.734897360703812,-5549.0
231,-7646.0,-4.6090909090909085,-5407.0,-7639.0,-4.566617790811339,-5835.0,7646.0,4.521603128054741,5814.0,-7639.0,-4.734897360703812,-5549.0
236,-7646.0,-4.6090909090909085,-5821.0,-7639.0,-4.566617790811339,-6238.0,7646.0,4.521603128054741,6237.0,-7639.0,-4.631964809384164,-5968.0
241,-7646.0,-4.5290322580645155,-5821.0,-7639.0,-4.885483870967742,-6238.0,7646.0,4.833040078201369,6237.0,-7639.0,-4.631964809384164,-5968.0
248,-7646.0,-4.5290322580645155,-5821.0,-7639.0,-4.885483870967742,-6238.0,7646.0,4.833040078201369,6237.0,-7639.0,-4.963636363636364,-5968.0
254,-8065.0,-4.849266862170088,-5821.0,-8057.0,-4.782991202346041,-6238.0,8065.0,4.740762463343109,6237.0,-8057.0,-4.963636363636364,-5968.0
256,-8065.0,-4.849266862170088,-6227.0,-8057.0,-4.782991202346041,-6681.0,8065.0,4.740762463343109,6664.0,-8057.0,-4.963636363636364,-6380.0
261,-8065.0,-4.849266862170088,-6227.0,-8057.0,-4.782991202346041,-6681.0,8065.0,4.740762463343109,6664.0,-8057.0,-5.21524926686217,-6380.0
267,-8065.0,-5.112316715542522,-6227.0,-8057.0,-5.124633431085044,-6681.0,8065.0,5.075268817204302,6664.0,-8057.0,-5.21524926686217,-6380.0
274,-8458.0,-5.112316715542522,-6227.0,-8452.0,-5.124633431085044,-6681.0,8458.0,5.075268817204302,6664.0,-8452.0,-5.112316715542522,-6380.0
276,-8458.0,-5.112316715542522,-6638.0,-8452.0,-5.124633431085044,-6681.0,8458.0,5.075268817204302,6664.0,-8452.0,-5.112316715542522,-6380.0
281,-8458.0,-4.997947214076246,-6638.0,-8452.0,-5.352394916911046,-7086.0,8458.0,5.236754643206257,7119.0,-8452.0,-5.112316715542522,-7193.0
286,-8458.0,-4.997947214076246,-6638.0,-8452.0,-5.352394916911046,-7086.0,8458.0,5.236754643206257,7119.0,-8452.0,-5.443988269794721,-7193.0
291,-8831.0,-5.329618768328445,-6638.0,-8822.0,-5.238514173998045,-7086.0,8831.0,5.144477028347996,7119.0,-8822.0,-5.443988269794721,-7193.0
296,-8831.0,-5.329618768328445,-7429.0,-8822.0,-5.238514173998045,-7086.0,8831.0,5.144477028347996,7119.0,-8822.0,-5.363929618768328,-7193.0
302,-8831.0,-5.2266862170087975,-7429.0,-8822.0,-5.238514173998045,-7544.0,8831.0,5.421309872922777,7551.0,-8822.0,-5.363929618768328,-7592.0
306,-8831.0,-5.2266862170087975,-7429.0,-8822.0,-5.466275659824047,-7544.0,8831.0,5.421309872922777,7551.0,-8822.0,-5.661290322580645,-7592.0
312,-9193.0,-5.524046920821115,-7429.0,-9183.0,-5.466275659824047,-7544.0,9193.0,5.421309872922777,7551.0,-9183.0,-5.661290322580645,-7592.0
317,-9193.0,-5.524046920821115,-7812.0,-9183.0,-5.352394916911046,-7544.0,9193.0,5.329032258064516,7551.0,-9183.0,-5.581231671554252,-7592.0
321,-9193.0,-5.409677419354838,-7812.0,-9183.0,-5.352394916911046,-7544.0,9193.0,5.329032258064516,7551.0,-9183.0,-5.581231671554252,-7592.0
